group,scope,pypsa_carriers,pypsa_component,sense,times_categories,times_process_labels,pypsa_stock_technology,note
heat pump,decentral,air heat pump;ground heat pump,Link,<=,residential rural heat pump;residential urban decentral heat pump;services heat pump,Residential rural Heat pump;Residential urban decentral Heat pump;Commercial Heat pump,air heat pump,"TIMES `*ELCHP*` processes are ""air heat pump with electric boiler"", so the stock maps to PyPSA's air heat pump. `<=` because PyPSA electrifies faster than TIMES in every horizon (§3 of the diagnosis)."
heat pump,decentral,air heat pump;ground heat pump,Link,<=,residential rural geothermal;residential urban decentral geothermal;services geothermal,Residential rural geothermal heating;Residential urban decentral geothermal heating;commercial Geothermal,ground heat pump,"ARBITRARY: TIMES geothermal building heat has no PyPSA equivalent (`heat_pump_sources` lists no geothermal source for decentral systems). Folded into the heat-pump group, and into the ground-source heat pump on the capacity side — the closest available component. 0.00-0.25 TWh, i.e. <1.5 % of decentral heat."
gas boiler,decentral,gas boiler,Link,>=,residential rural gas boiler;residential urban decentral gas boiler;services gas boiler,Residential rural gas heater;Residential urban decentral gas heater;Commercial gas boiler,gas boiler,
gas boiler,decentral,gas boiler,Link,>=,services CHP heat,,,"ARBITRARY: on-site tertiary gas CHP heat (`CHSAGMXCHPN01_N`). `sector.chp.micro_chp` is false so PyPSA has no decentral CHP; the heat is gas-fired, so it joins the gas-boiler group. 0.00-0.23 TWh. No capacity row: TIMES reports the CHP capacity in MW_e on a process the heat rule does not meter."
oil boiler,decentral,oil boiler,Link,>=,residential rural oil boiler;residential urban decentral oil boiler;services oil boiler,Residential rural oil heater;Residential urban decentral oil heater;Commercial Oil boiler,oil boiler,
oil boiler,decentral,oil boiler,Link,>=,residential rural coal boiler;residential urban decentral coal boiler,Residential rural Coal heater;Residential urban decentral Coal heater,oil boiler,"ARBITRARY: PyPSA-Eur has no decentral coal boiler. `build_existing_heating_distribution.py` already folds the EU coal-boiler stock into the oil boiler, so the same convention is reused here. 0.000-0.060 TWh."
biomass boiler,decentral,biomass boiler,Link,>=,residential rural biomass boiler;residential urban decentral biomass boiler;services biomass boiler,Residential rural biomass heater;Residential urban decentral biomass heater;Commercial Biomass boiler,biomass boiler,
resistive heater,decentral,resistive heater,Link,>=,residential rural electric heater;residential urban decentral electric heater;services electric heater,Residential rural electric heater;Residential urban decentral electric heater;Commercial electrical stove,resistive heater,TIMES keeps more direct electric heating than PyPSA in every horizon.
solar thermal,decentral,solar thermal,Generator,>=,residential rural solar thermal;residential urban decentral solar thermal;services solar thermal,Residential rural solar thermal;Residential urban decentral solar thermal;Commercial solar thermal,,"PyPSA's solar thermal is a Generator with no vintage structure, so the 99 MW_th TIMES 2025 stock has no `existing_heating_distribution` column to land in (`pypsa_stock_technology` empty). The energy target still applies."
district heating,urban central,,,none,residential district heating;services district heating,District heating;Commercial Heat Exchanger,,"Out of scope by design (diagnosis §6 *Scope*): DAC dominates the urban-central bus, CHP heat is welded to CHP electricity, PTES re-injects, and 73 % of the TIMES 2050 DH supply (geothermal + industrial waste heat) has no PyPSA component. The TIMES rows are exported for accounting only — `sense: none` means no constraint is built. The capacity rows are DH *substations*, which PyPSA does not model."
