category,commodity,clustered_process
total residential space,Coal for residential sector,space heating residential
total residential space,Diesel Oil for the residential sector,space heating residential
total residential space,Electricity for Residential sector,space heating residential
total residential space,Liquified Petroleum Gas (RSD),space heating residential
total residential space,Network gas for Residential sector,space heating residential
total residential space,Pellets for Residential sector,space heating residential
total residential space,Wood Logs for Residential sector,space heating residential
total residential space,Heat for Residential sector,space heating residential
electricity residential space,Electricity for Residential sector,space heating residential
total residential water,Coal for residential sector,residential hot water
total residential water,Diesel Oil for the residential sector,residential hot water
total residential water,Electricity for Residential sector,residential hot water
total residential water,Liquified Petroleum Gas (RSD),residential hot water
total residential water,Network gas for Residential sector,residential hot water
total residential water,Pellets for Residential sector,residential hot water
total residential water,Wood Logs for Residential sector,residential hot water
total residential water,Residential: Solar,residential hot water
electricity residential water,Electricity for Residential sector,residential hot water
electricity residential water,Residential: Solar,residential hot water
total residential,Coal for residential sector,space heating residential
total residential,Diesel Oil for the residential sector,space heating residential
total residential,Electricity for Residential sector,space heating residential
total residential,Liquified Petroleum Gas (RSD),space heating residential
total residential,Network gas for Residential sector,space heating residential
total residential,Pellets for Residential sector,space heating residential
total residential,Wood Logs for Residential sector,space heating residential
total residential,Heat for Residential sector,space heating residential
total residential,Coal for residential sector,residential hot water
total residential,Diesel Oil for the residential sector,residential hot water
total residential,Electricity for Residential sector,residential hot water
total residential,Liquified Petroleum Gas (RSD),residential hot water
total residential,Network gas for Residential sector,residential hot water
total residential,Pellets for Residential sector,residential hot water
total residential,Wood Logs for Residential sector,residential hot water
total residential,Residential: Solar,residential hot water
total residential,Coal for residential sector,residential gas appliances
total residential,Electricity for Residential sector,PV residential
total residential,Electricity for Residential sector,residential electrical appliances
total residential,Gasoline for Residential sector,Other residential
total residential,Liquified Petroleum Gas (RSD),residential gas appliances
total residential,Network gas for Residential sector,residential gas appliances
total residential,Wood Logs for Residential sector,residential gas appliances
electricity residential,Electricity for Residential sector,space heating residential
electricity residential,Electricity for Residential sector,residential hot water
electricity residential,Residential: Solar,residential hot water
electricity residential,Electricity for Residential sector,PV residential
electricity residential,Electricity for Residential sector,residential electrical appliances
total services space,Biogas for Commercial sector,Space heating services
total services space,Electricity for Commercial sector,Space heating services
total services space,LT Heat for Commercial sector,Space heating services
total services space,Liquified Petroleum Gas (COM),Space heating services
total services space,Network gas for Commercial sector,Space heating services
total services space,Oil for commercial sector,Space heating services
total services space,Pellets for Commercial sector,Space heating services
electricity services space,Electricity for Commercial sector,Space heating services
total services water,Biogas for Commercial sector,services hot water
total services water,Commercial: Solar,services hot water
total services water,Electricity for Commercial sector,services hot water
total services water,LT Heat for Commercial sector,services hot water
total services water,Liquified Petroleum Gas (COM),services hot water
total services water,Network gas for Commercial sector,services hot water
total services water,Oil for commercial sector,services hot water
total services water,Pellets for Commercial sector,services hot water
electricity services water,Commercial: Solar,services hot water
electricity services water,Electricity for Commercial sector,services hot water
total services,Biogas for Commercial sector,Space heating services
total services,Electricity for Commercial sector,Space heating services
total services,LT Heat for Commercial sector,Space heating services
total services,Liquified Petroleum Gas (COM),Space heating services
total services,Network gas for Commercial sector,Space heating services
total services,Oil for commercial sector,Space heating services
total services,Pellets for Commercial sector,Space heating services
total services,Biogas for Commercial sector,services hot water
total services,Commercial: Solar,services hot water
total services,Electricity for Commercial sector,services hot water
total services,LT Heat for Commercial sector,services hot water
total services,Liquified Petroleum Gas (COM),services hot water
total services,Network gas for Commercial sector,services hot water
total services,Oil for commercial sector,services hot water
total services,Pellets for Commercial sector,services hot water
total services,Biodiesel for Commercial sector,tertiary electricity
total services,Commercial: Solar,PV commercial
total services,Electricity for Commercial sector,PV commercial
total services,Gasoline for Commercial sector,tertiary electricity
total services,Liquified Petroleum Gas (COM),tertiary electricity
total services,Liquified Petroleum Gas (COM),total services cooking
total services,Network gas for Commercial sector,tertiary electricity
total services,Network gas for Commercial sector,other services
total services,Network gas for Commercial sector,tertiary CHP
total services,Network gas for Commercial sector,total services cooking
total services,Oil for commercial sector,tertiary electricity
total services,Pellets for Commercial sector,tertiary electricity
total services,Electricity for Commercial sector,tertiary electricity
total services,Electricity for Commercial sector,tertiary electricity cooking
electricity services,Electricity for Commercial sector,Space heating services
electricity services,Commercial: Solar,services hot water
electricity services,Electricity for Commercial sector,services hot water
electricity services,Electricity for Commercial sector,PV commercial
electricity services,Electricity for Commercial sector,tertiary electricity
electricity services,Electricity for Commercial sector,tertiary electricity cooking
total agriculture heat,total agriculture,heat for agriculture
total agriculture electricity,total agriculture,agriculture electricity
total agriculture machinery,total agriculture,oil for agriculture
total agriculture,total agriculture,heat for agriculture
total agriculture,total agriculture,agriculture electricity
total agriculture,total agriculture,oil for agriculture
total road,total transport,Fuel Tech - Diesel
total road,total transport,Fuel Tech - Gasoline
total road,total transport,Fuel Tech - Liquified Petroleum Gas
total road,total transport,Fuel Tech - Reseau gas mixed
total road,Electricity for Commercial sector,EV charger
total road,total transport,Fuel Tech - Biogas
total road,total transport,Fuel Tech - Ethanol
total road,total transport,Fuel Tech - H2
electricity road,Electricity for Commercial sector,EV charger
hydrogen road,total transport,Fuel Tech - H2
total rail,total rail,electricity transport
electricity rail,total rail,electricity transport
total domestic navigation,total navigation,Navigation Domestic Freight Tech Existing
total international navigation,total navigation,Navigation International Freight Tech Existing
total international aviation,Kerosene - Jet Fuels for transport,Aviation
total international aviation,Fuel Tech - H2,Aviation
total domestic aviation,Domestic aviation,Aviation
electricity,industry electricity,Fuel Tech - Electricity
electricity,industry electricity,PV industrial
electricity,industry electricity,PV
electricity,industry electricity,industrial CHP
coal,coal for industry,Fuel Tech - Hard Coal
coal,coal for industry,Fuel Tech - Lignite
coke,coke for industry,Fuel Tech - Coke
solid biomass,solid biomass for industry,Fuel Tech - Wood Chips
methane,gas for industry,Fuel Tech - Biogas
methane,gas for industry,Fuel Tech - Liquified Petroleum Gas
methane,gas for industry,Fuel Tech - Natural Gas transport
methane,gas for industry,Fuel Tech - Natural Gas and biogas mixed
methane,gas for industry,Fuel Tech New - IIS GMX - Corex GMX or BFG TGR with CCS or BOF
methane,Fuel Tech - Heat,Fuel Tech - Heat
low-temperature heat,Fuel Tech - Heat,Fuel Tech 1 - Heat
low-temperature heat,Fuel Tech - Heat,industrial CHP
naphtha,Diesel,Non-energy
naphtha,Hard Coal,Non-energy
naphtha,Natural Gas,Non-energy
naphtha,oil for industry,Fuel Tech - Heavy Fuel Oil
naphtha,oil for industry,Fuel Tech - Light Fuel Oil
hydrogen,hydrogen for industry,Imports
ammonia,ammonia for industry,Fuel Tech - Ammonia
methanol,methanol for industry,Fuel Tech - Methanol
