Technology (Process),Explanation
AGRAPP00,TIMES process: AGRAPP00
AGRBDL00,Agriculture process using -
AGRBGS00,Agriculture process using Biogas
AGRCPS00,Agriculture process using Solid biomass
AGRELC00,Agriculture process using Electricity
AGRGMX00,Agriculture process using Biogas
AGRHET00,Agriculture process using Central heat
AGRHH00,Agriculture process using Hydrogen
AGROFR00,TIMES process: AGROFR00
AGROIL00,Agriculture process using Oil
BBIORPS101,TIMES process: BBIORPS101
BBLQFTST110,TIMES process: BBLQFTST110
BBLQH2G110,TIMES process: BBLQH2G110
BCRPETH101,TIMES process: BCRPETH101
BRPSME101,TIMES process: BRPSME101
BWBIOGAZ100,TIMES process: BWBIOGAZ100
CCBAELC100,TIMES process: CCBAELC100
CCBAELC200,TIMES process: CCBAELC200
CCBAELC300,TIMES process: CCBAELC300
CCBPELC100,TIMES process: CCBPELC100
CCBPELC200,TIMES process: CCBPELC200
CCBPELC300,TIMES process: CCBPELC300
CCBPELC301,TIMES process: CCBPELC301
CCCOELC100,TIMES process: CCCOELC100
CCCOELC200,TIMES process: CCCOELC200
CCCOELC300,TIMES process: CCCOELC300
CCCOELC301,TIMES process: CCCOELC301
CCCSELC100,TIMES process: CCCSELC100
CCCSELC200,TIMES process: CCCSELC200
CCCSELC300,TIMES process: CCCSELC300
CCCSELC301,TIMES process: CCCSELC301
CCCSGMXHP101,TIMES process: CCCSGMXHP101
CCDATAELC301,TIMES process: CCDATAELC301
CCDATELC100,TIMES process: CCDATELC100
CCDATELC200,TIMES process: CCDATELC200
CCDATELC300,TIMES process: CCDATELC300
CCENELC100,TIMES process: CCENELC100
CCENELC200,TIMES process: CCENELC200
CCENELC300,TIMES process: CCENELC300
CCNBAELC301,TIMES process: CCNBAELC301
CCNBPELC301,TIMES process: CCNBPELC301
CCNCSELC301,TIMES process: CCNCSELC301
CCNCSGMXHP101,TIMES process: CCNCSGMXHP101
CCNDATAELC301,TIMES process: CCNDATAELC301
CCNENELC301,TIMES process: CCNENELC301
CCNSAELC301,TIMES process: CCNSAELC301
CCOKELC100,TIMES process: CCOKELC100
CCOKGMX101,TIMES process: CCOKGMX101
CCOKLPG101,TIMES process: CCOKLPG101
CCSAELC100,TIMES process: CCSAELC100
CCSAELC200,TIMES process: CCSAELC200
CCSAELC300,TIMES process: CCSAELC300
CCSAELC301,TIMES process: CCSAELC301
CHBABGS100,TIMES process: CHBABGS100
CHBACPS100,TIMES process: CHBACPS100
CHBAELC100,TIMES process: CHBAELC100
CHBAELC200,TIMES process: CHBAELC200
CHBAELCHPR202,TIMES process: CHBAELCHPR202
CHBAGEO100,TIMES process: CHBAGEO100
CHBAGMX100,TIMES process: CHBAGMX100
CHBAGMX501,TIMES process: CHBAGMX501
CHBAHET100,TIMES process: CHBAHET100
CHBALPG100,TIMES process: CHBALPG100
CHBALTH101,TIMES process: CHBALTH101
CHBAOIL100,TIMES process: CHBAOIL100
CHBAPEL100,TIMES process: CHBAPEL100
CHBPBGS100,TIMES process: CHBPBGS100
CHBPCPS100,TIMES process: CHBPCPS100
CHBPELC100,TIMES process: CHBPELC100
CHBPELC200,TIMES process: CHBPELC200
CHBPGEO100,TIMES process: CHBPGEO100
CHBPGMX100,TIMES process: CHBPGMX100
CHBPGMX501,TIMES process: CHBPGMX501
CHBPHET100,TIMES process: CHBPHET100
CHBPLPG100,TIMES process: CHBPLPG100
CHBPLTH101,TIMES process: CHBPLTH101
CHBPOIL100,TIMES process: CHBPOIL100
CHBPPEL100,TIMES process: CHBPPEL100
CHCOBGS100,TIMES process: CHCOBGS100
CHCOCPS100,TIMES process: CHCOCPS100
CHCOELC100,TIMES process: CHCOELC100
CHCOELC200,TIMES process: CHCOELC200
CHCOGEO100,TIMES process: CHCOGEO100
CHCOGMX100,TIMES process: CHCOGMX100
CHCOGMX501,TIMES process: CHCOGMX501
CHCOHET100,TIMES process: CHCOHET100
CHCOLPG100,TIMES process: CHCOLPG100
CHCOLTH101,TIMES process: CHCOLTH101
CHCOOIL100,TIMES process: CHCOOIL100
CHCOPEL100,TIMES process: CHCOPEL100
CHCSBGS100,TIMES process: CHCSBGS100
CHCSCPS100,TIMES process: CHCSCPS100
CHCSELC100,TIMES process: CHCSELC100
CHCSELC200,TIMES process: CHCSELC200
CHCSGEO100,TIMES process: CHCSGEO100
CHCSGMX100,TIMES process: CHCSGMX100
CHCSGMX401,TIMES process: CHCSGMX401
CHCSHET100,TIMES process: CHCSHET100
CHCSLPG100,TIMES process: CHCSLPG100
CHCSLTH101,TIMES process: CHCSLTH101
CHCSOIL100,TIMES process: CHCSOIL100
CHCSPEL100,TIMES process: CHCSPEL100
